id,username,created_at,lng,lat,text
1517367855775313924,katywinge,Fri Apr 22 05:01:02 +0000 2022,-104.92209349999999,39.713563,@mattcraine I mean tonight’s game was so much better than the first two. It felt like a home court advantage. You’r… https://t.co/16sxWEyAlJ
1517367856433745920,Icollectkickzz,Fri Apr 22 05:01:02 +0000 2022,-118.4119065,34.0207895,Ok so what y’all on???
1517367856580628482,VladBilik,Fri Apr 22 05:01:02 +0000 2022,-117.5621525,34.12167,Love it🍻
1517367855293075456,TheyLuvCocoa_,Fri Apr 22 05:01:02 +0000 2022,-84.433106,33.7671945,#PLANB ✨Bracelet Lovers ✨Evil Eye Bracelets🧿🪬Beaded Designer Bracelets💄Beaded Charm Bracelets🔮📿+MORE💟 Handm… https://t.co/Q3oAucVzIi
1517367857587314689,CharlesLBowers1,Fri Apr 22 05:01:03 +0000 2022,-80.3390605,27.469324999999998,@TabbyNt90 Every thing else
1517367857574674432,DanielKantor_1,Fri Apr 22 05:01:03 +0000 2022,-119.839024,34.434816,@EmpressTrash Yeahhhh check this out. That snapshot is only a small part of the whole https://t.co/oI3bAw5aHp
1517367860452073473,ShawtyyBlack,Fri Apr 22 05:01:03 +0000 2022,-95.44648649999999,29.838495,Sometimes I be happy for all my mistake’s it made me who I am today 😀
1517367865195868161,darookie305,Fri Apr 22 05:01:05 +0000 2022,-82.7553405,27.9927105,"Who's surprised?  Well done @CensereLee , congrats man! 🔥💪🏽"
1517367865736843265,The_Don187,Fri Apr 22 05:01:05 +0000 2022,-86.791549,36.200008,"this generation so fucked up, all the females think they niggas 😂🤦🏽‍♂️"
1517367869968855040,tamhodge,Fri Apr 22 05:01:06 +0000 2022,-118.4119065,34.0207895,My son’s new single is out. He writes from his heart &amp; experiences. And this one gets me 🥹 I’m so proud of you… https://t.co/sejqRv7x60
1517367870656860162,SRTerrio_,Fri Apr 22 05:01:06 +0000 2022,-85.9785995,35.8305215,I’ll leave that for the nerds
1517367871109746688,waltertalkowski,Fri Apr 22 05:01:06 +0000 2022,-71.683502,42.036939000000004,@elonmusk thank you. Walter
1517367870660902913,Anggroce,Fri Apr 22 05:01:06 +0000 2022,-111.54702900000001,39.499762000000004,Hole in the rock…. https://t.co/HYoUlCFFlV
1517367871420174336,UpchurchGary,Fri Apr 22 05:01:06 +0000 2022,-84.591917,37.876279,It is often a difficult personal battle to die to one’s own perceived strengths and lean on Jesus. It is a matter o… https://t.co/PZWgAr0E2s
1517367871722119168,dostoevskybitch,Fri Apr 22 05:01:06 +0000 2022,-73.723025,45.557830499999994,"When finals are over it’s just me, “Nathan For You,” and my crochet projects all summer long 🦾"
1517367872946900992,dedicated_tyy,Fri Apr 22 05:01:06 +0000 2022,-76.62048200000001,39.284712999999996,I heard that accident thought he was a bipper
1517367873777242112,TheNBT,Fri Apr 22 05:01:07 +0000 2022,-117.58003550000001,33.9793435,@kiwithesmol This toaster strudel needs more ahegao.
1517367875543076864,zukeferd,Fri Apr 22 05:01:07 +0000 2022,-121.6412685,36.6891495,@Tracey___G Gonna piss off a lot of 40 somethings. Now if they were truly interested in older women...call me! 😄
1517367876474212353,timgerhard9,Fri Apr 22 05:01:07 +0000 2022,-112.12467649999999,33.5528625,@VrixLewd Set on my face and fuck it good and hard
1517367876717625344,js_theriver,Fri Apr 22 05:01:07 +0000 2022,-90.5294835,38.475871999999995,Because that's how covid aka snake venom is spreading they are putting it in the water systems
1517367877124255744,DJWienerNFT,Fri Apr 22 05:01:07 +0000 2022,-118.325145,34.182159999999996,Just look at the detail @TheHaddy puts in the @apocalypticapes &amp; @AAPEQueens and you can’t help but have fomo… https://t.co/n6Loit0Ooi
1517367879192227842,sorryarisaurus,Fri Apr 22 05:01:08 +0000 2022,-94.691384,39.018497499999995,The points are made up and nothing matters
1517367879745822739,BigBrandon1976,Fri Apr 22 05:01:08 +0000 2022,-76.46969236,39.02702703,@learnthefacts65 @SportsCenter he's a mini Anthony Davis in the making. Well at least until the big pay day.
1517367880735592448,MikeyIritano11,Fri Apr 22 05:01:08 +0000 2022,-118.9188865,34.188478,"@KxngJam3s That’s so fuckin true, literally the reason why I got bikbak app instead"
1517367882010619904,absinthefather,Fri Apr 22 05:01:09 +0000 2022,-122.27952149999999,37.8758455,@_fogell thank you so much for listening!!
1517367889027747840,jg24blr,Fri Apr 22 05:01:10 +0000 2022,-105.068348,39.8992865,@FoxNews Who is Jimmy kimmel.?
1517367890055417857,MabryMindy,Fri Apr 22 05:01:10 +0000 2022,-89.126471,35.7832415,https://t.co/AXmzAFgtTfSo many people should never be parents...
1517367890483322881,Butter72035882,Fri Apr 22 05:01:11 +0000 2022,-87.732013,41.8335845,@Route_60plus Holy Shit is that Ricky Martin?
1517367891905056770,lululemonade0,Fri Apr 22 05:01:11 +0000 2022,-122.4359785,37.7706565,Now I can eat meat on Fridays bout to get some McNuggets for lunch 😂🤣🤣
1517367892890701824,rogfeelgood,Fri Apr 22 05:01:11 +0000 2022,-118.4119065,34.0207895,@LAKings @GEICO Caption game is strong
1517367893180227585,ETHSports,Fri Apr 22 05:01:11 +0000 2022,-87.6991955,42.045437,Congratulations to Maia Cella!!!#CollegeKITS
1517367893071065088,tigerbeat,Fri Apr 22 05:01:11 +0000 2022,-122.4359785,37.7706565,@primitiveradio @neo_antiquarian She was crushed when she actually ran for office in 2008 when she wasn’t as far ri… https://t.co/XaDFhGzJyO
1517367895696809984,GregoryLittley,Fri Apr 22 05:01:12 +0000 2022,-73.9685415,40.780709,settle down #BeReal https://t.co/ipGRWZj9VB https://t.co/RCmnO6xNNh
1517367899761123340,glenesis,Fri Apr 22 05:01:13 +0000 2022,-80.11290349999999,26.533486,@MyobaMazon @56blackcat Is this where our birds went? Holy Smokes!
1517367901988311041,vvancee,Fri Apr 22 05:01:13 +0000 2022,-95.44648649999999,29.838495,"meg song was mid, idk she just don’t make great music to me anymore"
1517367906165612544,jewelldoll,Fri Apr 22 05:01:14 +0000 2022,-122.7306055,38.956320500000004,I literally eat it everyday it’s becoming a problem
1517367907881086976,YoungLavizh,Fri Apr 22 05:01:15 +0000 2022,-106.4174305,31.793368,Time to shine fellas
